SIZE,[САЙЗ],РАЗМЕР
LIST,[ЛИСТ],СПИСОК
ROOM,[РУ:М],КОМНАТА
WALL,[УОЛ],СТЕНА
DOOR,[ДО:р],ДВЕРЬ
FLOOR,[ФЛО:р],ПОЛ
CEILING,[СИЛИН],ПОТОЛОК
WINDOW,[УИНДОУ],ОКНО
TABLE,[ТЭЙБЛ],СТОЛ
CHAIR,[ЧЭАр],СТУЛ
PEN,[ПЭН],РУЧКА
PENCIL,[ПЭНСИЛ],КАРАНДАШ
PICTURE,[ПИКЧЭр],КАРТИНА
BOOK,[БУК],КНИГА
DICTIONARY,[ДИКШНЭРИ],СЛОВАРЬ
LIGHT,[ЛАЙТ],СВЕТ
EXERCISE,[ЭКСЭСАЙЗ],УПРАЖНЕНИЕ
EXERCISE BOOK,[ЭКСЭСАЙЗ БУК],ТЕТРАДЬ
TEACHER,[ТИ:ЧЭр],УЧИТЕЛЬ
STUDENT,[СТЬЮ:ДЭНТ],СТУДЕНТ
PARTNER,[ПА:рТНЭр],ПАРТНЁР
SENTENCE,[СЭНТЭНС],ПРЕДЛОЖЕНИЕ
PATTERN,[ПА:ТЭрН],ШАБЛОН
AIR,[ЭАр],ВОЗДУХ
LINE,[ЛАЙН],ЛИНИЯ
CAR,[КА:р],МАШИНА
DRESS,[ДРЭС],ПЛАТЬЕ
CITY,[СИТИ],ГОРОД
KEY,[КИ:],КЛЮЧ
WATCH,[УА:ТЧ],НАРУЧНЫЕ ЧАСЫ
BRUSH,[БРАШ],ЩЁТКА
BOX,[БОКС],КОРОБКА
COOKIE,[КУ:КИ],ПЕЧЕНЬЕ
EAR,[ИЭр],УХО
EYE,[АЙ],ГЛАЗ
KNEE,[НИ:],КОЛЕНО
ELBOW,[ЭЛБОУ],ЛОКОТЬ
LEG,[ЛЭГ],НОГА
HEAD,[ХЭД],ГОЛОВА
FOREHEAD,[ФО:рХЭД],ЛОБ
ADAM'S APPLE,[АДАМС АПЛ],КАДЫК
BELLY BUTTON,[БЭЛИ БАТОН],ПУПОК
BODY,[БАДИ],ТЕЛО
PART,[ПА:рТ],ЧАСТЬ
BUTTON,[БАТОН],КНОПКА
APPLE,[АПЛ],ЯБЛОКО
